fecha_venta,tipo_empanada,sucursal,medio_pago,metodo_compra,cliente,unidades,precio_total,calificacion,tiempo_entrega_min
2023-01-12 07:51,Carne Picante,Sucursal Oeste,MercadoPago,Presencial,Nuevo,8,9.2,4.0,
2023-01-06 03:36,Jamon y Queso,Sucursal Sur,Tarjeta Débito,Web,Nuevo,4,5.0,5.0,
2023-03-06 05:57,Cebolla y Queso,Sucursal Palermo,MercadoPago,Presencial,Nuevo,6,8.34,,
2023-04-29 19:20,Cebolla y Queso,Sucursal Norte,Tarjeta Débito,Presencial,Nuevo,10,14.1,,
2023-01-02 09:31,Carne Picante,Sucursal Norte,Tarjeta Crédito,Web,Habitual,11,11.22,5.0,
2023-07-22 16:39,Carne Picante,Sucursal Centro,Efectivo,Delivery,Nuevo,7,12.88,1.0,12.0
2023-07-26 11:51,Cebolla y Queso,Sucursal Centro,Tarjeta Crédito,Presencial,Nuevo,8,11.76,,
2023-07-19 07:29,Cebolla y Queso,Sucursal Palermo,MercadoPago,Web,Habitual,5,5.85,3.0,
2023-10-27 23:07,Cebolla y Queso,Sucursal Centro,Tarjeta Débito,Web,Nuevo,4,8.92,1.0,
2023-10-09 06:31,Dulce de Leche,Sucursal Oeste,Efectivo,Presencial,Nuevo,4,6.04,5.0,
2023-10-04 23:57,Pollo,Sucursal Palermo,Tarjeta Débito,Presencial,Habitual,5,10.1,,
2023-03-26 18:18,Pollo,Sucursal Sur,Tarjeta Crédito,Delivery,Habitual,12,14.88,3.0,26.0
2023-12-09 07:59,Pollo,Sucursal Norte,Efectivo,Presencial,Habitual,3,6.0,5.0,
2023-07-13 01:00,Humita,Sucursal Centro,Tarjeta Débito,Delivery,Habitual,7,10.92,2.0,36.0
2023-05-02 17:27,Dulce de Leche,Sucursal Norte,Tarjeta Crédito,Web,Nuevo,12,21.36,1.0,
2023-06-03 21:33,Jamon y Queso,Sucursal Sur,Efectivo,Presencial,Nuevo,10,18.3,5.0,
2023-01-01 01:18,Pollo,Sucursal Sur,Tarjeta Crédito,Delivery,Habitual,5,12.2,1.0,43.0
2023-05-26 18:23,Cebolla y Queso,Sucursal Palermo,Tarjeta Crédito,Presencial,Habitual,2,2.16,,
2023-06-12 06:00,Caprese,Sucursal Oeste,Tarjeta Crédito,Web,Nuevo,9,12.87,5.0,
2023-04-11 03:23,Verdura,Sucursal Norte,MercadoPago,Presencial,Habitual,3,6.72,4.0,
2023-09-14 07:20,Verdura,Sucursal Norte,Tarjeta Débito,Presencial,Nuevo,6,14.1,4.0,
2023-05-08 00:31,Cebolla y Queso,Sucursal Oeste,Tarjeta Débito,Web,Habitual,11,25.74,,
2023-09-11 14:10,Jamon y Queso,Sucursal Oeste,MercadoPago,Presencial,Habitual,7,12.53,,
2023-10-17 23:14,Pollo,Sucursal Norte,MercadoPago,Delivery,Nuevo,6,11.94,2.0,56.0
2023-03-06 23:25,Humita,Sucursal Norte,Tarjeta Crédito,Web,Habitual,6,7.14,2.0,
2023-11-18 16:58,Humita,Sucursal Palermo,MercadoPago,Delivery,Nuevo,6,12.24,4.0,39.0
2023-12-10 02:59,Carne Picante,Sucursal Oeste,Tarjeta Débito,Delivery,Nuevo,5,7.25,2.0,29.0
2023-07-18 00:20,Dulce de Leche,Sucursal Norte,Tarjeta Débito,Delivery,Habitual,10,16.8,2.0,39.0
2023-07-13 18:36,Cebolla y Queso,Sucursal Norte,Tarjeta Crédito,Web,Habitual,12,18.48,2.0,
2023-04-01 11:07,Cebolla y Queso,Sucursal Palermo,Tarjeta Débito,Delivery,Habitual,6,9.24,5.0,56.0
2023-04-16 06:55,Cebolla y Queso,Sucursal Sur,Efectivo,Web,Nuevo,5,9.05,4.0,
2023-02-11 09:35,Caprese,Sucursal Centro,Tarjeta Crédito,Web,Nuevo,10,17.6,4.0,
2023-03-13 16:57,Verdura,Sucursal Sur,MercadoPago,Presencial,Habitual,1,1.35,5.0,
2023-10-21 03:50,Jamon y Queso,Sucursal Sur,Tarjeta Débito,Presencial,Habitual,1,1.89,5.0,
2023-03-06 18:39,Carne Picante,Sucursal Sur,Tarjeta Crédito,Web,Habitual,1,1.88,5.0,
2023-02-24 07:47,Cebolla y Queso,Sucursal Norte,Tarjeta Débito,Delivery,Habitual,6,9.48,,28.0
2023-05-26 08:51,Carne Picante,Sucursal Oeste,MercadoPago,Delivery,Nuevo,6,6.9,,53.0
2023-09-05 20:44,Verdura,Sucursal Centro,Tarjeta Crédito,Web,Habitual,12,21.0,4.0,
2023-04-30 20:24,Humita,Sucursal Oeste,Tarjeta Débito,Web,Habitual,9,10.35,5.0,
2023-06-01 08:11,Cebolla y Queso,Sucursal Sur,Tarjeta Crédito,Presencial,Habitual,8,18.0,,
2023-04-29 11:12,Carne,Sucursal Palermo,MercadoPago,Web,Nuevo,1,2.23,4.0,
2023-08-26 02:03,Dulce de Leche,Sucursal Oeste,Efectivo,Presencial,Nuevo,11,25.74,,
2023-12-03 14:20,Pollo,Sucursal Centro,Efectivo,Presencial,Nuevo,4,4.04,,
2023-04-11 16:47,Jamon y Queso,Sucursal Centro,Tarjeta Crédito,Web,Nuevo,7,7.14,3.0,
2023-11-22 06:30,Carne Picante,Sucursal Oeste,MercadoPago,Presencial,Habitual,10,20.6,,
2023-11-18 17:19,Carne,Sucursal Norte,Tarjeta Débito,Delivery,Nuevo,1,1.5,2.0,17.0
2023-10-23 21:55,Caprese,Sucursal Oeste,MercadoPago,Delivery,Habitual,4,6.44,1.0,15.0
2023-04-21 16:36,Caprese,Sucursal Norte,Tarjeta Crédito,Delivery,Habitual,2,2.3,,56.0
2023-06-08 13:40,Carne Picante,Sucursal Oeste,Tarjeta Débito,Web,Habitual,1,1.37,2.0,
2023-04-02 08:46,Humita,Sucursal Sur,Tarjeta Débito,Delivery,Habitual,5,10.15,3.0,27.0
2023-10-06 10:52,Carne,Sucursal Norte,Efectivo,Delivery,Habitual,4,4.64,5.0,50.0
2023-10-28 21:20,Humita,Sucursal Palermo,Efectivo,Web,Nuevo,11,24.31,2.0,
2023-12-03 05:26,Jamon y Queso,Sucursal Sur,Tarjeta Débito,Web,Nuevo,2,3.48,2.0,
2023-05-27 22:47,Humita,Sucursal Palermo,Efectivo,Delivery,Habitual,11,15.29,1.0,13.0
2023-11-23 08:27,Humita,Sucursal Palermo,MercadoPago,Presencial,Nuevo,5,12.35,5.0,
2023-02-16 15:52,Humita,Sucursal Centro,Tarjeta Débito,Presencial,Nuevo,5,6.25,5.0,
2023-12-24 20:10,Carne Picante,Sucursal Oeste,Efectivo,Web,Nuevo,6,6.96,,
2023-11-07 08:04,Dulce de Leche,Sucursal Sur,MercadoPago,Web,Nuevo,5,6.9,,
2023-02-09 10:53,Humita,Sucursal Centro,Efectivo,Web,Habitual,9,17.46,1.0,
2023-12-01 20:37,Carne,Sucursal Norte,Efectivo,Web,Nuevo,4,9.08,4.0,
2023-07-09 23:45,Verdura,Sucursal Norte,Efectivo,Web,Habitual,3,3.6,1.0,
2023-08-31 23:42,Jamon y Queso,Sucursal Centro,Tarjeta Crédito,Web,Habitual,3,4.14,3.0,
2023-08-07 13:36,Pollo,Sucursal Oeste,Tarjeta Débito,Presencial,Nuevo,12,30.0,,
2023-05-23 08:05,Cebolla y Queso,Sucursal Centro,MercadoPago,Web,Nuevo,1,1.18,1.0,
2023-05-27 08:35,Carne Picante,Sucursal Norte,MercadoPago,Delivery,Habitual,12,29.28,,46.0
2023-03-07 20:05,Dulce de Leche,Sucursal Oeste,Tarjeta Débito,Web,Nuevo,7,9.73,3.0,
2023-10-26 02:06,Jamon y Queso,Sucursal Norte,Tarjeta Crédito,Web,Habitual,1,1.43,,
2023-02-24 05:07,Carne Picante,Sucursal Centro,Tarjeta Crédito,Web,Nuevo,8,15.04,3.0,
2023-11-22 07:38,Pollo,Sucursal Palermo,Tarjeta Crédito,Web,Nuevo,2,3.4,5.0,
2023-08-24 00:52,Dulce de Leche,Sucursal Centro,Tarjeta Débito,Delivery,Nuevo,3,4.62,2.0,40.0
2023-11-03 07:29,Caprese,Sucursal Norte,Tarjeta Débito,Delivery,Habitual,9,9.99,1.0,24.0
2023-01-18 08:24,Cebolla y Queso,Sucursal Centro,Tarjeta Crédito,Presencial,Nuevo,2,4.0,5.0,
2023-06-04 21:21,Cebolla y Queso,Sucursal Sur,MercadoPago,Delivery,Nuevo,4,7.04,4.0,60.0
2023-11-01 02:54,Dulce de Leche,Sucursal Palermo,MercadoPago,Delivery,Nuevo,12,12.6,2.0,50.0
2023-10-17 16:54,Cebolla y Queso,Sucursal Palermo,MercadoPago,Web,Habitual,4,6.84,5.0,
2023-12-15 04:44,Humita,Sucursal Oeste,Tarjeta Débito,Web,Nuevo,8,10.88,4.0,
2023-07-31 03:50,Caprese,Sucursal Palermo,MercadoPago,Delivery,Habitual,10,19.0,3.0,12.0
2023-04-19 03:16,Pollo,Sucursal Sur,Tarjeta Débito,Web,Nuevo,1,2.18,1.0,
2023-05-12 03:45,Jamon y Queso,Sucursal Centro,MercadoPago,Web,Habitual,11,14.74,,
2023-12-30 00:16,Cebolla y Queso,Sucursal Norte,MercadoPago,Presencial,Habitual,8,19.6,4.0,
2023-04-19 12:12,Carne Picante,Sucursal Sur,Tarjeta Crédito,Delivery,Nuevo,1,1.78,4.0,11.0
2023-03-05 18:43,Dulce de Leche,Sucursal Sur,MercadoPago,Web,Nuevo,5,5.85,1.0,
2023-04-16 05:07,Carne Picante,Sucursal Centro,Tarjeta Débito,Delivery,Nuevo,8,12.32,3.0,21.0
2023-11-12 02:51,Carne,Sucursal Sur,Tarjeta Crédito,Presencial,Nuevo,5,10.35,4.0,
2023-09-04 23:57,Jamon y Queso,Sucursal Centro,Efectivo,Web,Nuevo,7,14.07,1.0,
2023-07-01 11:33,Caprese,Sucursal Oeste,Tarjeta Débito,Presencial,Habitual,6,8.1,5.0,
2023-03-31 21:07,Cebolla y Queso,Sucursal Oeste,MercadoPago,Presencial,Nuevo,5,6.1,,
2023-01-14 08:59,Carne Picante,Sucursal Oeste,Tarjeta Débito,Presencial,Habitual,4,5.72,,
2023-02-20 14:00,Carne,Sucursal Palermo,MercadoPago,Delivery,Habitual,10,17.4,5.0,29.0
2023-11-26 06:24,Verdura,Sucursal Norte,Tarjeta Crédito,Delivery,Nuevo,4,6.88,5.0,59.0
2023-03-15 12:36,Carne Picante,Sucursal Sur,Tarjeta Débito,Presencial,Nuevo,9,15.21,,
2023-09-30 10:24,Caprese,Sucursal Palermo,MercadoPago,Presencial,Nuevo,2,3.04,5.0,
2023-03-05 07:26,Jamon y Queso,Sucursal Norte,Efectivo,Delivery,Nuevo,12,22.8,2.0,37.0
2023-11-18 00:19,Cebolla y Queso,Sucursal Centro,Tarjeta Crédito,Delivery,Nuevo,1,1.03,1.0,20.0
2023-11-09 13:17,Cebolla y Queso,Sucursal Centro,MercadoPago,Web,Habitual,5,7.5,2.0,
2023-06-27 07:43,Carne Picante,Sucursal Palermo,Efectivo,Web,Nuevo,9,10.35,3.0,
2023-09-15 03:43,Caprese,Sucursal Sur,Tarjeta Débito,Web,Habitual,11,14.41,1.0,
2023-03-21 18:56,Humita,Sucursal Palermo,Efectivo,Presencial,Nuevo,10,15.6,,
2023-08-20 09:46,Humita,Sucursal Oeste,MercadoPago,Delivery,Nuevo,10,20.8,,46.0
2023-12-20 13:54,Dulce de Leche,Sucursal Norte,Tarjeta Débito,Web,Nuevo,7,7.14,,
2023-02-04 11:10,Carne Picante,Sucursal Palermo,MercadoPago,Presencial,Nuevo,7,14.35,4.0,
2023-01-16 06:56,Cebolla y Queso,Sucursal Norte,Tarjeta Débito,Delivery,Habitual,12,21.48,1.0,26.0
2023-07-23 15:23,Carne,Sucursal Oeste,Tarjeta Crédito,Web,Habitual,2,3.5,5.0,
2023-12-12 17:36,Cebolla y Queso,Sucursal Sur,Tarjeta Crédito,Web,Nuevo,12,21.0,1.0,
2023-05-21 09:14,Caprese,Sucursal Sur,Tarjeta Débito,Presencial,Nuevo,1,1.67,4.0,
2023-11-14 16:59,Jamon y Queso,Sucursal Oeste,Tarjeta Débito,Delivery,Nuevo,4,5.24,5.0,23.0
2023-11-22 22:44,Carne Picante,Sucursal Sur,Efectivo,Delivery,Nuevo,3,3.54,5.0,25.0
2023-02-07 16:23,Pollo,Sucursal Sur,Efectivo,Presencial,Habitual,5,11.05,4.0,
2023-05-13 13:46,Caprese,Sucursal Sur,Tarjeta Débito,Web,Nuevo,11,23.21,3.0,
2023-04-14 10:44,Dulce de Leche,Sucursal Centro,MercadoPago,Web,Habitual,4,6.4,,
2023-02-19 05:56,Carne,Sucursal Centro,Tarjeta Débito,Presencial,Nuevo,10,19.9,4.0,
2023-02-04 00:27,Verdura,Sucursal Sur,Tarjeta Débito,Delivery,Habitual,4,7.16,4.0,57.0
2023-10-02 06:54,Verdura,Sucursal Palermo,Tarjeta Débito,Presencial,Nuevo,12,28.32,4.0,
2023-08-21 15:56,Cebolla y Queso,Sucursal Sur,Tarjeta Débito,Delivery,Nuevo,11,15.51,4.0,52.0
2023-09-25 17:24,Carne Picante,Sucursal Norte,Tarjeta Débito,Presencial,Habitual,7,14.77,,
2023-01-02 16:45,Jamon y Queso,Sucursal Sur,MercadoPago,Presencial,Habitual,4,6.8,,
2023-10-15 13:00,Carne,Sucursal Sur,Tarjeta Crédito,Web,Habitual,8,16.4,1.0,
2023-01-18 22:53,Jamon y Queso,Sucursal Norte,Efectivo,Web,Nuevo,10,23.7,1.0,
2023-10-12 20:18,Cebolla y Queso,Sucursal Palermo,Tarjeta Débito,Web,Habitual,11,22.33,4.0,
2023-04-01 12:09,Carne Picante,Sucursal Sur,MercadoPago,Web,Nuevo,4,7.48,1.0,
2023-09-28 04:00,Humita,Sucursal Norte,Tarjeta Crédito,Presencial,Habitual,9,19.53,4.0,
2023-12-24 16:55,Dulce de Leche,Sucursal Norte,Efectivo,Delivery,Habitual,1,1.19,1.0,28.0
2023-05-16 03:09,Dulce de Leche,Sucursal Sur,Tarjeta Débito,Presencial,Habitual,11,18.04,,
2023-09-30 17:33,Jamon y Queso,Sucursal Palermo,Tarjeta Crédito,Presencial,Habitual,11,27.17,4.0,
2023-02-04 16:31,Caprese,Sucursal Sur,Tarjeta Crédito,Presencial,Habitual,3,4.92,,
2023-12-09 13:32,Carne,Sucursal Sur,Efectivo,Delivery,Habitual,9,20.34,5.0,54.0
2023-02-27 08:14,Carne,Sucursal Oeste,Tarjeta Débito,Delivery,Habitual,10,22.2,,37.0
2023-12-12 16:12,Dulce de Leche,Sucursal Sur,Tarjeta Débito,Web,Habitual,11,21.23,1.0,
2023-12-08 00:58,Dulce de Leche,Sucursal Norte,MercadoPago,Presencial,Nuevo,2,3.3,4.0,
2023-06-03 12:03,Carne Picante,Sucursal Palermo,Tarjeta Débito,Presencial,Nuevo,4,4.64,,
2023-04-29 22:36,Carne,Sucursal Sur,Tarjeta Débito,Delivery,Nuevo,6,9.54,1.0,46.0
2023-05-03 09:12,Humita,Sucursal Palermo,Tarjeta Crédito,Presencial,Habitual,8,17.84,,
2023-12-22 10:26,Humita,Sucursal Palermo,Tarjeta Crédito,Presencial,Nuevo,7,11.97,5.0,
2023-04-11 16:09,Humita,Sucursal Palermo,Efectivo,Delivery,Nuevo,1,1.09,,36.0
2023-07-31 11:55,Jamon y Queso,Sucursal Norte,Efectivo,Web,Habitual,1,1.86,3.0,
2023-09-19 10:33,Pollo,Sucursal Sur,Tarjeta Crédito,Presencial,Habitual,12,27.0,,
2023-06-06 11:23,Verdura,Sucursal Oeste,Tarjeta Débito,Presencial,Habitual,3,6.75,4.0,
2023-10-03 23:00,Cebolla y Queso,Sucursal Centro,Efectivo,Delivery,Nuevo,4,9.16,4.0,29.0
2023-01-06 15:14,Carne Picante,Sucursal Norte,Tarjeta Débito,Presencial,Nuevo,4,8.32,5.0,
2023-11-08 17:48,Carne Picante,Sucursal Norte,MercadoPago,Web,Nuevo,12,12.84,2.0,
2023-02-09 08:24,Carne,Sucursal Palermo,Tarjeta Crédito,Delivery,Habitual,5,6.2,4.0,28.0
2023-12-09 12:26,Caprese,Sucursal Norte,Efectivo,Delivery,Nuevo,9,10.89,,51.0
2023-06-16 23:03,Pollo,Sucursal Palermo,Tarjeta Crédito,Delivery,Habitual,9,12.51,1.0,12.0
2023-05-19 01:34,Carne,Sucursal Sur,Tarjeta Crédito,Presencial,Nuevo,11,14.96,4.0,
2023-07-08 06:30,Cebolla y Queso,Sucursal Centro,Efectivo,Presencial,Habitual,9,12.06,5.0,
2023-07-03 07:47,Carne Picante,Sucursal Centro,Tarjeta Crédito,Delivery,Nuevo,9,12.42,1.0,19.0
2023-10-18 09:51,Humita,Sucursal Oeste,MercadoPago,Delivery,Nuevo,5,10.15,1.0,37.0
2023-05-29 17:36,Cebolla y Queso,Sucursal Centro,Efectivo,Web,Habitual,4,7.52,1.0,
2023-04-29 12:46,Carne Picante,Sucursal Palermo,Efectivo,Web,Nuevo,1,1.13,3.0,
2023-06-13 18:03,Jamon y Queso,Sucursal Oeste,Tarjeta Débito,Web,Nuevo,2,3.7,3.0,
2023-08-04 01:08,Carne,Sucursal Centro,Tarjeta Débito,Delivery,Nuevo,11,11.99,2.0,21.0
2023-12-24 10:24,Carne,Sucursal Norte,MercadoPago,Presencial,Nuevo,8,15.6,4.0,
2023-12-13 12:14,Carne,Sucursal Palermo,Tarjeta Crédito,Delivery,Nuevo,10,17.5,1.0,29.0
2023-05-11 13:34,Verdura,Sucursal Oeste,Tarjeta Crédito,Presencial,Nuevo,4,8.68,5.0,
2023-02-12 00:01,Humita,Sucursal Sur,MercadoPago,Delivery,Nuevo,10,18.1,,42.0
2023-01-25 01:21,Dulce de Leche,Sucursal Sur,MercadoPago,Web,Habitual,8,8.08,4.0,
2023-05-21 17:12,Caprese,Sucursal Oeste,Efectivo,Presencial,Habitual,5,11.75,,
2023-05-31 08:34,Carne,Sucursal Sur,Efectivo,Presencial,Nuevo,1,2.36,,
2023-02-07 23:40,Humita,Sucursal Oeste,Efectivo,Delivery,Habitual,7,13.93,,13.0
2023-01-03 10:07,Humita,Sucursal Oeste,MercadoPago,Web,Habitual,1,2.15,4.0,
2023-09-06 15:53,Dulce de Leche,Sucursal Oeste,Tarjeta Crédito,Presencial,Nuevo,1,1.49,,
2023-03-06 14:50,Caprese,Sucursal Palermo,Tarjeta Crédito,Web,Nuevo,5,9.7,1.0,
2023-09-29 01:52,Dulce de Leche,Sucursal Palermo,MercadoPago,Web,Habitual,6,13.92,1.0,
2023-02-19 05:33,Verdura,Sucursal Palermo,Efectivo,Presencial,Nuevo,12,29.76,,
2023-04-27 08:08,Verdura,Sucursal Norte,Tarjeta Débito,Delivery,Nuevo,12,12.72,1.0,13.0
2023-08-17 20:40,Jamon y Queso,Sucursal Norte,Tarjeta Débito,Presencial,Nuevo,12,21.24,,
2023-03-03 17:18,Humita,Sucursal Oeste,Efectivo,Web,Nuevo,6,11.46,5.0,
2023-08-06 07:49,Verdura,Sucursal Sur,MercadoPago,Delivery,Habitual,7,15.89,1.0,56.0
2023-01-16 03:31,Humita,Sucursal Oeste,Tarjeta Débito,Web,Nuevo,6,10.74,3.0,
2023-09-27 04:10,Caprese,Sucursal Norte,Tarjeta Crédito,Delivery,Habitual,1,1.58,1.0,48.0
2023-03-16 22:29,Carne Picante,Sucursal Sur,Tarjeta Débito,Web,Habitual,5,11.1,3.0,
2023-10-05 11:37,Jamon y Queso,Sucursal Palermo,Efectivo,Presencial,Nuevo,10,20.2,5.0,
2023-08-17 04:47,Cebolla y Queso,Sucursal Sur,Efectivo,Web,Nuevo,5,6.0,4.0,
2023-07-20 22:07,Verdura,Sucursal Centro,MercadoPago,Presencial,Nuevo,12,22.68,4.0,
2023-04-27 14:56,Cebolla y Queso,Sucursal Norte,MercadoPago,Presencial,Nuevo,7,9.87,4.0,
2023-02-12 10:22,Carne Picante,Sucursal Oeste,Efectivo,Delivery,Nuevo,12,22.56,2.0,42.0
2023-10-05 02:21,Humita,Sucursal Oeste,Tarjeta Débito,Presencial,Habitual,7,11.76,,
2023-10-14 12:13,Caprese,Sucursal Norte,Tarjeta Débito,Web,Nuevo,3,5.82,2.0,
2023-01-20 17:54,Jamon y Queso,Sucursal Sur,Efectivo,Presencial,Habitual,3,4.14,5.0,
2023-03-24 21:42,Cebolla y Queso,Sucursal Sur,Tarjeta Crédito,Delivery,Habitual,10,13.7,4.0,50.0
